City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
310,Kulu,TR,39.0951,33.0799,46.8,43,0,0.69,clear sky
311,Ternate,ID,0.8,127.4,82.62,75,100,1.3,overcast clouds
312,Tayga,RU,56.06,85.6197,43.72,61,96,8.81,overcast clouds
313,San Angelo,US,31.4638,-100.437,80.82,65,40,3.0,scattered clouds
314,Sao Jose Da Tapera,BR,-9.5583,-37.3811,77.34,77,55,9.64,broken clouds
315,Sistranda,NO,63.7256,8.834,44.91,95,100,29.12,overcast clouds
316,Tazovskiy,RU,67.4667,78.7,24.98,99,81,1.79,broken clouds
317,Shintomi,JP,32.0785,131.4723,58.32,72,59,3.02,broken clouds
318,Albanel,CA,48.8832,-72.4487,44.74,93,100,3.44,overcast clouds
319,Romita,MX,20.8667,-101.5167,79.43,36,40,12.66,scattered clouds
320,Lavrentiya,RU,65.5833,-171.0,23.49,91,58,5.12,broken clouds
321,Naliya,IN,23.2667,68.8333,76.05,65,0,8.46,clear sky
322,Padang,ID,-0.9492,100.3543,73.45,83,98,2.98,moderate rain
323,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,91,100,1.57,overcast clouds
324,Kumba,CM,4.6363,9.4469,71.69,98,92,0.45,moderate rain
325,Nabire,ID,-3.3667,135.4833,76.44,93,100,4.09,overcast clouds
326,Mehamn,NO,71.0357,27.8492,34.77,57,98,24.18,overcast clouds
327,Salinopolis,BR,-0.6136,-47.3561,79.99,82,81,8.5,broken clouds
328,Kralendijk,BQ,12.15,-68.2667,80.58,83,20,11.5,few clouds
329,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,82,75,2.3,broken clouds
330,Tautira,PF,-17.7333,-149.15,86.02,76,49,9.33,scattered clouds
331,Turochak,RU,52.2576,87.1224,41.09,60,96,3.69,overcast clouds
332,Uusikaupunki,FI,60.8004,21.4084,45.12,90,100,17.96,moderate rain
333,Outjo,NA,-20.1167,16.15,58.19,45,0,5.95,clear sky
334,Marsh Harbour,BS,26.5412,-77.0636,79.95,73,88,15.32,overcast clouds
335,Preeceville,CA,51.95,-102.6677,34.81,42,92,6.82,overcast clouds
336,Bairiki,KI,1.3292,172.9752,87.8,62,20,9.22,few clouds
337,Santa Ines,BR,-3.6667,-45.38,77.2,84,90,3.71,overcast clouds
338,Gidrotorf,RU,56.4744,43.5414,51.78,88,100,14.65,overcast clouds
339,Santander,ES,43.4647,-3.8044,56.98,83,75,1.99,broken clouds
340,Novoshakhtinsk,RU,47.7604,39.9334,49.24,91,59,14.34,broken clouds
